fecha,cantidad_pasos
2017-11-15,113470
2017-11-16,117042
2017-11-17,118647
2017-11-18,79716
2017-11-19,75477
2017-11-20,56751
2017-11-21,109775
2017-11-22,112507
2017-11-23,118410
2017-11-24,121652
2017-11-25,86136
2017-11-26,73680
2017-11-27,109818
2017-11-28,113709
2017-11-29,110483
2017-11-30,118599
2017-12-01,120128
2017-12-02,85408
2017-12-03,66158
2017-12-04,108072
2017-12-05,112109
2017-12-06,115917
2017-12-07,123854
2017-12-08,71311
2017-12-09,72440
2017-12-10,76196
2017-12-11,104950
2017-12-12,103643
2017-12-13,103009
2017-12-14,101988
2017-12-15,118277
2017-12-16,84601
2017-12-17,82755
2017-12-18,78724
2017-12-19,102949
2017-12-20,115899
2017-12-21,117631
2017-12-22,112986
2017-12-23,70155
2017-12-24,43549
2017-12-25,55783
2017-12-26,103324
2017-12-27,105156
2017-12-28,107263
2017-12-29,100187
2017-12-30,61032
2017-12-31,35435
2018-01-01,47614
2018-01-02,89605
2018-01-03,93398
2018-01-04,93843
2018-01-05,95348
2018-01-06,60750
2018-01-07,56643
2018-01-08,92251
2018-01-09,92276
2018-01-10,94885
2018-01-11,95223
2018-01-12,97435
2018-01-13,60342
2018-01-14,50658
2018-01-15,94167
2018-01-16,94929
2018-01-17,96531
2018-01-18,102742
2018-01-19,99151
2018-01-20,63527
2018-01-21,56835
2018-01-22,94744
2018-01-23,94270
2018-01-24,97448
2018-01-25,99155
2018-01-26,100532
2018-01-27,66384
2018-01-28,60686
2018-01-29,98198
2018-01-30,97541
2018-01-31,102858
2018-02-01,106294
2018-02-02,106392
2018-02-03,67855
2018-02-04,62631
2018-02-05,100483
2018-02-06,101055
2018-02-07,103665
2018-02-08,107811
2018-02-09,108380
2018-02-10,71765
2018-02-11,63184
2018-02-12,59843
2018-02-13,56734
2018-02-14,109290
2018-02-15,103145
2018-02-16,108842
2018-02-17,71059
2018-02-18,63087
2018-02-19,101159
2018-02-20,105556
2018-02-21,71729
2018-02-22,112582
2018-02-23,112221
2018-02-24,74962
2018-02-25,71991
2018-02-26,108020
2018-02-27,110970
2018-02-28,110774
2018-03-01,109485
2018-03-02,112814
2018-03-03,78596
2018-03-04,67430
2018-03-05,106825
2018-03-06,107442
2018-03-07,113405
2018-03-08,102642
2018-03-09,116473
2018-03-10,83570
2018-03-11,69576
2018-03-12,108238
2018-03-13,110309
2018-03-14,112327
2018-03-15,117228
2018-03-16,120686
2018-03-17,84851
2018-03-18,59404
2018-03-19,115823
2018-03-20,117191
2018-03-21,123380
2018-03-22,122955
2018-03-23,122528
2018-03-24,70830
2018-03-25,71753
2018-03-26,113006
2018-03-27,115700
2018-03-28,118119
2018-03-29,79781
2018-03-30,60364
2018-03-31,62662
2018-04-01,65257
2018-04-02,61683
2018-04-03,113321
2018-04-04,118845
2018-04-05,120786
2018-04-06,106527
2018-04-07,77405
2018-04-08,60580
2018-04-09,111354
2018-04-10,114410
2018-04-11,103680
2018-04-12,118646
2018-04-13,118154
2018-04-14,84006
2018-04-15,69386
2018-04-16,107399
2018-04-17,109108
2018-04-18,111556
2018-04-19,117736
2018-04-20,112399
2018-04-21,73986
2018-04-22,69025
2018-04-23,108470
2018-04-24,109065
2018-04-25,114238
2018-04-26,121923
2018-04-27,120946
2018-04-28,71139
2018-04-29,45599
2018-04-30,71759
2018-05-01,49459
2018-05-02,106701
2018-05-03,116479
2018-05-04,114359
2018-05-05,70569
2018-05-06,62545
2018-05-07,109026
2018-05-08,107657
2018-05-09,113658
2018-05-10,112287
2018-05-11,116682
2018-05-12,81447
2018-05-13,68435
2018-05-14,109643
2018-05-15,111573
2018-05-16,111470
2018-05-17,114519
2018-05-18,119581
2018-05-19,78548
2018-05-20,67050
2018-05-21,108830
2018-05-22,113667
2018-05-23,107411
2018-05-24,125519
2018-05-25,64895
2018-05-26,70636
2018-05-27,62113
2018-05-28,105539
2018-05-29,112891
2018-05-30,109296
2018-05-31,115072
2018-06-01,100177
2018-06-02,78169
2018-06-03,62889
2018-06-04,102135
2018-06-05,109638
2018-06-06,105287
2018-06-07,115320
2018-06-08,116521
2018-06-09,82523
2018-06-10,61194
2018-06-11,107023
2018-06-12,107606
2018-06-13,108321
2018-06-14,95207
2018-06-15,117122
2018-06-16,61742
2018-06-17,62460
2018-06-18,106047
2018-06-19,115991
2018-06-20,54512
2018-06-21,101965
2018-06-22,114354
2018-06-23,75393
2018-06-24,61650
2018-06-25,105186
2018-06-26,104334
2018-06-27,114487
2018-06-28,117333
2018-06-29,121457
2018-06-30,59665
2018-07-01,54221
2018-07-02,107706
2018-07-03,110994
2018-07-04,114188
2018-07-05,115829
2018-07-06,116835
2018-07-07,71080
2018-07-08,64549
2018-07-09,54631
2018-07-10,108250
2018-07-11,112450
2018-07-12,114716
2018-07-13,120512
2018-07-14,86003
2018-07-15,69264
2018-07-16,105547
2018-07-17,103446
2018-07-18,101778
2018-07-19,101996
2018-07-20,103073
2018-07-21,80917
2018-07-22,73114
2018-07-23,97343
2018-07-24,99028
2018-07-25,101077
2018-07-26,98563
2018-07-27,103065
2018-07-28,70248
2018-07-29,60747
2018-07-30,100882
2018-07-31,106218
2018-08-01,106396
2018-08-02,109607
2018-08-03,113398
2018-08-04,73669
2018-08-05,73493
2018-08-06,104795
2018-08-07,103742
2018-08-08,95362
2018-08-09,115831
2018-08-10,117427
2018-08-11,80166
2018-08-12,76529
2018-08-13,105426
2018-08-14,109866
2018-08-15,113207
2018-08-16,116599
2018-08-17,118665
2018-08-18,74756
2018-08-19,63755
2018-08-20,62662
2018-08-21,108282
2018-08-22,107855
2018-08-23,111964
2018-08-24,114629
2018-08-25,78029
2018-08-26,66636
2018-08-27,104125
2018-08-28,109840
2018-08-29,112935
2018-08-30,106175
2018-08-31,116967
2018-09-01,76284
2018-09-02,72997
2018-09-03,103482
2018-09-04,108681
2018-09-05,108947
2018-09-06,112994
2018-09-07,116878
2018-09-08,80779
2018-09-09,67162
2018-09-10,102517
2018-09-11,110295
2018-09-12,97560
2018-09-13,112767
2018-09-14,116060
2018-09-15,76181
2018-09-16,58556
2018-09-17,104448
2018-09-18,106953
2018-09-19,109922
2018-09-20,120477
2018-09-21,112959
2018-09-22,73305
2018-09-23,60576
2018-09-24,93166
2018-09-25,108942
2018-09-26,112615
2018-09-27,116208
2018-09-28,114298
2018-09-29,60540
2018-09-30,63087
2018-10-01,96623
2018-10-02,96012
2018-10-03,101514
2018-10-04,87975
2018-10-05,91323
2018-10-06,54218
2018-10-07,56328
2018-10-08,99789
2018-10-09,105193
2018-10-10,110831
2018-10-11,111888
2018-10-12,116061
2018-10-13,91004
2018-10-14,79430
2018-10-15,69913
2018-10-16,109690
2018-10-17,109189
2018-10-18,113003
2018-10-19,118779
2018-10-20,76386
2018-10-21,65187
2018-10-22,104585
2018-10-23,107383
2018-10-24,99091
2018-10-25,118120
2018-10-26,117142
2018-10-27,86921
2018-10-28,74194
2018-10-29,105728
2018-10-30,105180
2018-10-31,111646
2018-11-01,115275
2018-11-02,116124
2018-11-03,85678
2018-11-04,77662
2018-11-05,107817
2018-11-06,109985
2018-11-07,111401
2018-11-08,116820
2018-11-09,119185
2018-11-10,70632
2018-11-11,62234
2018-11-12,105402
2018-11-13,106189
2018-11-14,112559
2018-11-15,122066
2018-11-16,116848
2018-11-17,78083
2018-11-18,70246
2018-11-19,67090
2018-11-20,109227
2018-11-21,109884
2018-11-22,117643
2018-11-23,120007
2018-11-24,63563
2018-11-25,61627
2018-11-26,106383
2018-11-27,113070
2018-11-28,108912
2018-11-29,47938
2018-11-30,118041
2018-12-01,74489
2018-12-02,57785
2018-12-03,109684
2018-12-04,112627
2018-12-05,112394
2018-12-06,118591
2018-12-07,122206
2018-12-08,83542
2018-12-09,64323
2018-12-10,108932
2018-12-11,108857
2018-12-12,116923
2018-12-13,110451
2018-12-14,119309
2018-12-15,87578
2018-12-16,75739
2018-12-17,106872
2018-12-18,109266
2018-12-19,116724
2018-12-20,118524
2018-12-21,120685
2018-12-22,81239
2018-12-23,58478
2018-12-24,49849
2018-12-25,55523
2018-12-26,102080
2018-12-27,104068
2018-12-28,103604
2018-12-29,61806
2018-12-30,42043
2018-12-31,40103
2019-01-01,47555
2019-01-02,106145
2019-01-03,106313
2019-01-04,107508
2019-01-05,50772
2019-01-06,73211
2019-01-07,106280
2019-01-08,109148
2019-01-09,62588
2019-01-10,96814
2019-01-11,117376
2019-01-12,72217
2019-01-13,33529
2019-01-14,88875
2019-01-15,89635
2019-01-16,93197
2019-01-17,95190
2019-01-18,95640
2019-01-19,40473
2019-01-20,57039
2019-01-21,87673
2019-01-22,89302
2019-01-23,91188
2019-01-24,93044
2019-01-25,91129
2019-01-26,59271
2019-01-27,56787
2019-01-28,90468
2019-01-29,92232
2019-01-30,95827
2019-01-31,104351
2019-02-01,86417
2019-02-02,70873
2019-02-03,76490
2019-02-04,55026
2019-02-05,112196
2019-02-06,62207
2019-02-07,107206
2019-02-08,102105
2019-02-09,104292
2019-02-10,111801
2019-02-11,87658
2019-02-12,106388
2019-02-13,97184
2019-02-14,104025
2019-02-15,108972
2019-02-16,72275
2019-02-17,68741
2019-02-18,102459
2019-02-19,100679
2019-02-20,105947
2019-02-21,108385
2019-02-22,106850
2019-02-23,67070
2019-02-24,63492
2019-02-25,100349
2019-02-26,99960
2019-02-27,106011
2019-02-28,111966
2019-03-01,92597
2019-03-02,69429
2019-03-03,67074
2019-03-04,110664
2019-03-05,114730
2019-03-06,97149
2019-03-07,110209
2019-03-08,80189
2019-03-09,107509
2019-03-10,112456
2019-03-11,82121
2019-03-12,109027
2019-03-13,109765
2019-03-14,113144
2019-03-15,116843
2019-03-16,78246
2019-03-17,64638
2019-03-18,105376
2019-03-19,104018
2019-03-20,104562
2019-03-21,109905
2019-03-22,111109
2019-03-23,82025
2019-03-24,61843
2019-03-25,105209
2019-03-26,107019
2019-03-27,110906
2019-03-28,115160
2019-03-29,118365
2019-03-30,84927
2019-03-31,70514
2019-04-01,93423
2019-04-02,98562
2019-04-03,50065
2019-04-04,98494
2019-04-05,74627
2019-04-06,101752
2019-04-07,116461
2019-04-08,73292
2019-04-09,97742
2019-04-10,110453
2019-04-11,102178
2019-04-12,109566
2019-04-13,84320
2019-04-14,64613
2019-04-15,105710
2019-04-16,108091
2019-04-17,117122
2019-04-18,71740
2019-04-19,56347
2019-04-20,60504
2019-04-21,66632
2019-04-22,104701
2019-04-23,103904
2019-04-24,110562
2019-04-25,112870
2019-04-26,110718
2019-04-27,72729
2019-04-28,62998
2019-04-29,111974
2019-04-30,73683
2019-05-01,60614
2019-05-02,99510
2019-05-03,57486
2019-05-04,117254
2019-05-05,54563
2019-05-06,103453
2019-05-07,117269
2019-05-08,103874
2019-05-09,105429
2019-05-10,71201
2019-05-11,107816
2019-05-12,117128
2019-05-13,98640
2019-05-14,106379
2019-05-15,106277
2019-05-16,110241
2019-05-17,115051
2019-05-18,79137
2019-05-19,60175
2019-05-20,102552
2019-05-21,100862
2019-05-22,107754
2019-05-23,112697
2019-05-24,112367
2019-05-25,71779
2019-05-26,69013
2019-05-27,102171
2019-05-28,106603
2019-05-29,94630
2019-05-30,109178
2019-05-31,112886
2019-06-01,49434
2019-06-02,102425
2019-06-03,105598
2019-06-04,78573
2019-06-05,105639
2019-06-06,109611
2019-06-07,75798
2019-06-08,105260
2019-06-09,115141
2019-06-10,72019
2019-06-11,108880
2019-06-12,120522
2019-06-13,101933
2019-06-14,111420
2019-06-15,62681
2019-06-16,47461
2019-06-17,43373
2019-06-18,98350
2019-06-19,108310
2019-06-20,55422
2019-06-21,106324
2019-06-22,69974
2019-06-23,54359
2019-06-24,105552
2019-06-25,108902
2019-06-26,109973
2019-06-27,111464
2019-06-28,112586
2019-06-29,72766
2019-06-30,61588
2019-07-01,89108
2019-07-02,104383
2019-07-03,107820
2019-07-04,71473
2019-07-05,106897
2019-07-06,111730
2019-07-07,60723
2019-07-08,110191
2019-07-09,75908
2019-07-10,104841
2019-07-11,115680
2019-07-12,83856
2019-07-13,79128
2019-07-14,66979
2019-07-15,107243
2019-07-16,109173
2019-07-17,109215
2019-07-18,112945
2019-07-19,116522
2019-07-20,78161
2019-07-21,62814
2019-07-22,98155
2019-07-23,100568
2019-07-24,101377
2019-07-25,102532
2019-07-26,103061
2019-07-27,77427
2019-07-28,73068
2019-07-29,94704
2019-07-30,97109
2019-07-31,104136
2019-08-01,92416
2019-08-02,106097
2019-08-03,101365
2019-08-04,106311
2019-08-05,113471
2019-08-06,78160
2019-08-07,64699
2019-08-08,115702
2019-08-09,63838
2019-08-10,105883
2019-08-11,115175
2019-08-12,73053
2019-08-13,107703
2019-08-14,113905
2019-08-15,109366
2019-08-16,118229
2019-08-17,65558
2019-08-18,67215
2019-08-19,65316
2019-08-20,107396
2019-08-21,111275
2019-08-22,104892
2019-08-23,115617
2019-08-24,80282
2019-08-25,64283
2019-08-26,104742
2019-08-27,107186
2019-08-28,107021
2019-08-29,110842
2019-08-30,111378
2019-08-31,82030
2019-09-01,93812
2019-09-02,68991
2019-09-03,76027
2019-09-04,109223
2019-09-05,111445
2019-09-06,67550
2019-09-07,73925
2019-09-08,110711
2019-09-09,93638
2019-09-10,103716
2019-09-11,78968
2019-09-12,111461
2019-09-13,112454
2019-09-14,82396
2019-09-15,72558
2019-09-16,103050
2019-09-17,106276
2019-09-18,108666
2019-09-19,109932
2019-09-20,111809
2019-09-21,81802
2019-09-22,68507
2019-09-23,103991
2019-09-24,106592
2019-09-25,112087
2019-09-26,115132
2019-09-27,114052
2019-09-28,85619
2019-09-29,77831
2019-09-30,102863
2019-10-01,91688
2019-10-02,60897
2019-10-03,66961
2019-10-04,114669
2019-10-05,114076
2019-10-06,98846
2019-10-07,107808
2019-10-08,77118
2019-10-09,105241
2019-10-10,112096
2019-10-11,73590
2019-10-12,84966
2019-10-13,63824
2019-10-14,66765
2019-10-15,106361
2019-10-16,112163
2019-10-17,107745
2019-10-18,119162
2019-10-19,79730
2019-10-20,74424
2019-10-21,102871
2019-10-22,106933
2019-10-23,114020
2019-10-24,112894
2019-10-25,114121
2019-10-26,77245
2019-10-27,59866
2019-10-28,97170
2019-10-29,105939
2019-10-30,112278
2019-10-31,110311
2019-11-01,96707
2019-11-02,95593
2019-11-03,104384
2019-11-04,105522
2019-11-05,79494
2019-11-06,101514
2019-11-07,112117
2019-11-08,64117
2019-11-09,100380
2019-11-10,112470
2019-11-11,100546
2019-11-12,117694
2019-11-13,111410
2019-11-14,115526
2019-11-15,117179
2019-11-16,75164
2019-11-17,68214
2019-11-18,57089
2019-11-19,110716
2019-11-20,115150
2019-11-21,116052
2019-11-22,115406
2019-11-23,75872
2019-11-24,68189
2019-11-25,103533
2019-11-26,110103
2019-11-27,113011
2019-11-28,116878
2019-11-29,115732
2019-11-30,88130
2019-12-01,35587
2019-12-02,101576
2019-12-03,107048
2019-12-04,111193
2019-12-05,69030
2019-12-06,103782
2019-12-07,110100
2019-12-08,104915
2019-12-09,102147
2019-12-10,57361
2019-12-11,107702
2019-12-12,118120
2019-12-13,122390
2019-12-14,83891
2019-12-15,66403
